Date,GOOGL,FB,BIDU,LNKD,TWTR,ORCL,SAP,ADBE,IBM,MSFT,CSCO,T,VZ,NTT,WFC,JPM,BAC,C,BRK-B,AIG,HSBC,V,AXP,MA,GS,SCHW,DIS,CMCSA,TWX,BABA,TWC,WMT,COST,TGT,HD,PCLN,JNJ,NVS,PFE,MRK,GSK,BMY,GILD,AMGN,UNH,AET,CVS,AAPL,PG,UN,UL,TM,HMC,F,GM,KO,PEP,BUD,ABEV
2015-12-31,778.01001,104.660004,189.039993,225.080002,23.139999,36.529999,79.099998,93.940002,137.619995,55.48,27.16,34.41,46.220001,39.740002,54.360001,66.029999,16.83,51.75,132.039993,61.970001,39.470001,77.550003,69.550003,97.360001,180.229996,32.93,105.080002,56.43,64.669998,81.269997,185.589996,61.299999,161.50,72.610001,132.25,1274.949951,102.720001,86.040001,32.279999,52.82,40.349998,68.790001,101.190002,162.330002,117.639999,108.120003,97.769997,105.260002,79.410004,43.32,43.119999,123.040001,31.93,14.09,34.009998,42.959999,99.919998,125.00,4.46
2015-12-30,790.299988,106.220001,192.130005,227.529999,22.23,36.919998,80.150002,95.279999,139.339996,56.310001,27.530001,34.740002,46.77,39.790001,54.889999,66.589996,17.049999,52.299999,133.259995,62.509998,39.700001,78.349998,70.160004,98.870003,182.009995,33.25,106.339996,56.709999,64.440002,81.68,185.770004,61.68,162.710007,73.620003,133.350006,1289.160034,103.779999,87.529999,32.75,53.25,41.040001,69.519997,102.160004,163.289993,118.919998,108.93,98.739998,107.32,80.07,44.040001,43.75,123.220001,32.040001,14.17,34.330002,43.57,101.150002,126.129997,4.46
2015-12-29,793.960022,107.260002,194.679993,231.369995,22.469999,37.040001,80.910004,95.330002,139.779999,56.549999,27.77,34.93,47.209999,40.119999,55.290001,67.07,17.280001,52.98,134.139999,62.540001,40.279999,79.209999,70.550003,99.720001,183.529999,33.560001,107.080002,57.560001,64.839996,83.260002,187.229996,61.610001,162.660004,74.440002,133.699997,1302.400024,104.029999,88.050003,32.830002,53.34,41.189999,69.739998,103.360001,164.440002,119.82,110.209999,99.360001,108.739998,80.360001,44.23,43.959999,124.760002,32.41,14.23,34.50,43.709999,101.449997,127.389999,4.68
2015-12-28,782.23999,105.93,192.800003,229.289993,22.530001,36.790001,80.309998,94.199997,137.610001,55.950001,27.309999,34.759998,46.75,39.650002,54.68,66.379997,17.129999,52.380001,133.119995,61.599998,40.029999,78.529999,69.760002,98.529999,181.619995,33.110001,107.25,57.189999,64.480003,82.139999,185.050003,60.75,161.160004,72.870003,132.679993,1272.959961,103.220001,86.75,32.419998,52.84,40.919998,69.169998,101.68,161.729996,118.330002,108.949997,98.419998,106.82,79.919998,43.709999,43.43,124.470001,32.220001,14.18,34.509998,43.490002,100.68,125.839996,4.67
2015-12-24,765.840027,105.019997,193.929993,229.029999,22.969999,37.009998,80.050003,94.300003,138.25,55.669998,27.379999,34.66,46.709999,39.490002,54.82,66.599998,17.27,52.709999,133.889999,61.700001,40.360001,78.260002,70.160004,98.589996,182.470001,33.049999,105.860001,57.299999,64.389999,83.709999,184.50,60.830002,161.75,73.169998,132.899994,1273.069946,103.720001,86.470001,32.619999,52.849998,40.93,68.970001,103.580002,163.550003,118.339996,109.629997,98.860001,108.029999,79.790001,43.560001,43.380001,125.769997,32.400002,14.31,34.599998,43.540001,100.540001,125.75,4.57
2015-12-23,768.51001,104.629997,196.529999,228.970001,22.67,36.93,79.809998,94.699997,138.539993,55.82,27.40,34.779999,46.950001,40.130001,55.040001,66.730003,17.34,52.630001,134.149994,61.41,40.34,78.559998,69.970001,98.730003,182.949997,33.060001,105.559998,57.169998,64.489998,84.800003,184.100006,61.09,161.710007,73.650002,133.110001,1279.050049,103.489998,86.639999,32.560001,52.98,40.959999,68.989998,103.139999,162.720001,118.690002,110.080002,98.510002,108.610001,79.919998,43.630001,43.380001,127.150002,32.380001,14.36,34.779999,43.669998,100.639999,125.849998,4.59
2015-12-22,767.130005,105.510002,197.029999,228.350006,22.559999,36.59,79.099998,93.82,137.929993,55.349998,26.889999,34.41,46.34,39.549999,54.34,65.68,17.08,52.009998,133.139999,60.73,39.57,77.379997,68.849998,97.540001,180.050003,32.900002,106.739998,56.889999,64.120003,84.839996,183.139999,60.540001,161.229996,72.610001,131.880005,1277.48999,102.709999,84.849998,32.52,52.099998,39.900002,68.309998,102.860001,162.300003,117.440002,108.910004,98.269997,107.230003,79.599998,42.779999,42.50,125.580002,32.169998,14.20,34.290001,43.290001,99.800003,124.50,4.49
2015-12-21,760.799988,104.769997,197.440002,227.330002,22.139999,36.419998,78.68,91.620003,135.50,54.830002,26.639999,34.09,45.900002,39.43,54.02,65.540001,16.969999,51.790001,131.190002,59.970001,39.459999,77.169998,68.400002,97.040001,177.75,32.209999,106.589996,56.459999,63.41,82.870003,181.970001,59.549999,159.389999,71.709999,131.309998,1275.709961,101.580002,84.68,32.459999,51.869999,39.82,68.040001,102.629997,159.279999,117.410004,109.720001,95.949997,107.330002,78.949997,42.560001,42.220001,124.650002,32.110001,13.73,33.830002,42.779999,98.620003,123.809998,4.45
2015-12-18,756.849976,104.040001,191.919998,225.800003,22.99,36.349998,78.120003,91.309998,134.899994,54.130001,26.27,33.599998,45.560001,38.709999,53.790001,64.400002,16.76,51.209999,129.529999,59.599998,39.279999,76.32,67.870003,96.290001,175.490005,31.91,107.720001,56.400002,63.509998,82.650002,181.130005,58.849998,157.699997,71.370003,130.289993,1285.670044,101.949997,84.769997,31.99,51.639999,39.43,67.639999,101.599998,158.800003,115.82,108.470001,94.860001,106.029999,78.129997,42.720001,42.150002,124.389999,31.940001,13.80,33.669998,42.50,97.900002,124.00,4.44
2015-12-17,769.830017,106.220001,196.940002,231.149994,23.309999,36.93,78.410004,94.199997,136.75,55.700001,26.719999,34.029999,46.099998,39.32,55.470001,66.279999,17.299999,52.84,133.970001,60.130001,39.59,78.690002,69.57,99.330002,182.610001,33.209999,112.010002,57.41,64.860001,83.559998,184.509995,58.98,160.679993,72.330002,131.350006,1313.73999,103.639999,85.300003,32.330002,52.66,39.830002,69.279999,102.360001,161.429993,119.220001,108.860001,94.709999,108.980003,80.290001,43.310001,42.82,124.800003,32.369999,13.98,34.110001,43.490002,100.199997,124.790001,4.62
2015-12-16,776.590027,106.790001,199.339996,234.509995,24.299999,38.91,78.480003,95.559998,139.289993,56.130001,27.24,34.400002,46.509998,39.779999,55.849998,67.529999,17.75,53.900002,135.880005,60.93,39.50,79.860001,70.709999,100.040001,186.210007,33.810001,113.790001,58.700001,65.900002,84.629997,185.059998,60.299999,162.759995,73.800003,132.899994,1332.310059,105.25,86.510002,32.580002,54.02,40.240002,70.709999,103.339996,164.580002,118.830002,108.760002,97.559998,111.339996,80.989998,43.900002,43.299999,126.660004,32.790001,14.36,35.139999,43.84,101.080002,125.110001,4.73
2015-12-15,760.090027,104.550003,199.130005,229.229996,23.950001,38.209999,78.260002,94.019997,137.789993,55.200001,26.85,33.810001,45.549999,38.240002,54.91,66.099998,17.42,52.52,134.880005,59.939999,38.439999,78.620003,70.150002,98.43,182.009995,33.18,112.160004,57.75,64.709999,82.489998,181.080002,59.639999,161.289993,72.980003,131.289993,1323.72998,104.129997,85.279999,32.259998,52.900002,39.34,70.220001,101.970001,162.619995,117.610001,107.019997,92.589996,110.489998,79.68,42.990002,42.450001,122.169998,31.530001,13.87,34.540001,43.07,99.389999,122.480003,4.56
2015-12-14,762.539978,104.660004,193.889999,231.990005,24.92,37.650002,77.480003,93.260002,135.929993,55.139999,26.49,33.599998,45.450001,38.52,53.200001,64.269997,16.799999,51.099998,132.020004,58.419998,37.91,76.870003,68.830002,96.300003,176.399994,32.25,109.349998,57.369999,64.260002,80.57,178.809998,60.389999,161.839996,72.720001,132.009995,1297.880005,102.150002,84.559998,32.18,52.200001,39.099998,68.639999,100.489998,158.110001,115.849998,105.800003,94.110001,112.480003,78.290001,42.330002,41.919998,122.50,31.549999,13.62,34.389999,42.450001,97.949997,122.800003,4.59
2015-12-11,750.419983,102.120003,193.679993,230.610001,24.84,37.209999,77.209999,91.419998,134.570007,54.060001,26.16,33.169998,44.82,37.080002,53.310001,64.07,16.73,51.110001,130.309998,59.459999,37.869999,76.110001,68.860001,94.830002,176.559998,31.77,108.040001,57.970001,65.470001,79.739998,180.50,59.360001,160.020004,71.839996,130.440002,1285.329956,101.68,84.519997,32.060001,52.150002,39.310001,67.620003,100.029999,155.149994,115.980003,104.910004,93.239998,113.18,77.779999,42.380001,41.849998,123.669998,31.40,13.64,34.549999,42.27,97.779999,122.599998,4.62
2015-12-10,760.039978,105.419998,200.009995,232.089996,25.91,38.189999,78.370003,88.959999,136.779999,55.27,26.77,33.669998,45.32,37.709999,54.34,65.610001,17.200001,52.650002,131.710007,60.98,38.720001,78.120003,70.110001,97.610001,182.110001,33.259998,110.760002,59.669998,67.839996,84.330002,183.509995,59.560001,161.860001,72.370003,132.539993,1306.50,102.639999,85.099998,32.360001,53.689999,39.919998,68.940002,102.620003,159.669998,116.209999,104.82,94.739998,116.169998,77.790001,43.02,42.57,124.889999,32.060001,13.96,35.630001,42.759998,98.900002,126.330002,4.70
2015-12-09,762.549988,104.599998,200.460007,231.339996,24.309999,38.580002,78.269997,89.559998,136.610001,54.98,26.73,33.57,45.360001,37.32,54.119999,65.459999,17.10,52.810001,131.710007,62.18,38.630001,77.879997,69.860001,97.82,180.710007,32.970001,111.470001,58.59,68.300003,83.419998,183.919998,59.130001,159.720001,72.010002,131.899994,1294.98999,102.150002,83.959999,32.290001,52.82,39.610001,68.559998,101.949997,157.889999,115.050003,103.870003,94.980003,115.620003,77.699997,43.34,42.860001,123.900002,32.16,13.89,35.450001,42.66,99.129997,126.790001,4.89
2015-12-08,775.140015,106.489998,205.020004,238.509995,24.99,38.73,78.889999,91.720001,138.050003,55.790001,27.15,33.849998,45.700001,37.709999,54.400002,65.959999,17.190001,53.389999,133.360001,62.75,38.369999,79.07,69.910004,98.18,182.919998,33.860001,112.480003,59.540001,68.82,84.379997,184.880005,59.610001,168.869995,72.660004,133.839996,1303.969971,102.419998,84.970001,32.529999,53.470001,39.50,69.400002,103.529999,159.350006,115.879997,103.93,95.660004,118.230003,77.75,43.580002,42.799999,122.519997,32.16,13.97,35.48,43.009998,100.169998,128.679993,4.81
2015-12-07,772.98999,105.610001,208.539993,234.559998,24.459999,38.82,79.269997,89.599998,139.550003,55.810001,27.49,34.27,46.060001,37.779999,55.419998,67.00,17.540001,54.400002,135.600006,62.799999,39.41,79.550003,70.610001,97.82,185.490005,34.080002,113.830002,60.369999,70.360001,84.760002,185.610001,60.50,167.119995,73.389999,133.929993,1302.420044,103.32,85.580002,32.66,53.68,40.00,68.839996,102.910004,158.300003,115.910004,103.620003,96.339996,118.279999,78.370003,44.049999,43.310001,125.150002,32.630001,14.12,36.130001,43.200001,100.669998,128.899994,4.88
2015-12-04,779.210022,106.18,208.300003,241.50,25.02,39.16,78.980003,92.580002,140.429993,55.91,27.48,34.110001,45.709999,38.41,55.669998,67.889999,17.799999,55.09,136.479996,63.990002,39.860001,80.400002,71.099998,98.699997,189.990005,34.509998,114.239998,60.75,70.610001,84.849998,185.190002,59.66,166.800003,73.900002,134.529999,1300.47998,102.949997,86.220001,32.799999,53.639999,40.27,69.110001,104.07,161.429993,117.739998,105.32,95.459999,119.029999,77.830002,43.580002,42.830002,125.900002,32.689999,14.20,36.25,43.290001,101.059998,127.870003,4.87
2015-12-03,768.200012,104.379997,207.479996,239.440002,25.90,37.810001,78.489998,89.910004,138.919998,54.200001,26.950001,33.099998,44.560001,37.889999,54.200001,65.800003,17.299999,53.509998,132.660004,62.360001,39.66,78.290001,70.419998,95.959999,185.199997,32.98,111.889999,59.619999,69.160004,82.589996,181.380005,59.040001,163.669998,73.190002,130.929993,1280.079956,100.790001,84.559998,32.389999,52.59,40.00,66.449997,101.379997,154.649994,115.00,101.720001,92.849998,115.199997,75.739998,43.16,42.110001,124.720001,32.52,13.98,35.470001,42.459999,99.089996,126.849998,4.95
2015-12-02,777.849976,106.07,211.360001,245.509995,25.40,38.700001,79.129997,92.019997,139.699997,55.209999,27.440001,33.560001,44.919998,38.099998,55.080002,66.660004,17.620001,54.139999,135.270004,63.50,40.130001,79.040001,71.199997,97.099998,190.259995,33.59,114.00,60.48,70.019997,85.00,184.619995,58.349998,161.089996,71.93,133.809998,1275.439941,102.050003,85.019997,32.900002,53.82,40.919998,67.779999,104.440002,160.520004,117.639999,106.93,94.50,116.279999,75.790001,44.139999,43.049999,125.739998,32.93,14.26,35.73,42.77,99.480003,127.739998,4.82
